year,zone_index,zone_name,mean_tmax_MAMJ,p95_tmax_MAMJ,hot_days_ge_38C,onset_doy_ge_38C
1982,22,Tripura,30.916746139526367,34.242020988464354,0,
1982,23,West Bengal,33.31698226928711,37.8152530670166,3,126.0
1982,24,Sikkim,8.285791397094727,12.9176607131958,0,
1982,25,Arunachal Pradesh,16.146570205688477,21.28872308731079,0,
1982,26,Mizoram,29.146800994873047,33.41341667175292,0,
1982,27,Daman and Diu,33.026405334472656,36.30424118041992,1,89.0
1982,28,Goa,31.140785217285156,33.6202205657959,0,
1982,29,Bihar,34.52813720703125,40.15219783782959,28,95.0
1982,30,Madhya Pradesh,35.42811965942383,39.59063282012939,23,105.0
1982,31,Uttar Pradesh,31.074153900146484,37.31437358856201,3,149.0
1983,0,Andaman & Nicobar,29.386878967285156,30.776233863830566,0,
1983,1,Andhra Pradesh,37.234256744384766,40.32395496368408,51,72.0
